2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
2104201,564,1079,41426,8,79,VIC,10125,8,79
2104202,545,1096,45535,9,87,VIC,11217,9,87
2104203,352,1082,42324,9,81,VIC,10348,8,80
2104204,274,1126,50877,10,97,VIC,12609,10,98
2104205,367,1134,51632,10,99,VIC,12762,10,99
2104206,544,1123,50504,10,97,VIC,12502,10,97
2104207,653,1146,52282,10,100,VIC,12892,10,100
2104208,535,996,20858,4,40,VIC,4574,4,36
2104209,529,1020,26405,6,51,VIC,5980,5,47
2104210,342,1098,45828,9,88,VIC,11304,9,88
2104211,520,1099,46199,9,88,VIC,11423,9,89
2104212,350,1038,30781,6,59,VIC,7194,6,56
2104213,372,1108,47953,10,92,VIC,11870,10,92
2104214,1252,1070,39144,8,75,VIC,9509,8,74
2104215,528,1053,34740,7,67,VIC,8244,7,64
2104216,562,1068,38686,8,74,VIC,9360,8,73
2104217,439,1039,31067,6,60,VIC,7262,6,57
2104218,586,1046,33059,7,63,VIC,7789,7,61
2104219,409,1034,29867,6,57,VIC,6928,6,54
